quant,bits,group,rb,rc,rdt,layer_mode,ppl
fake,8,128,4,4,24,mid,46.0249
fake,8,128,4,4,24,late,8946.5381
fake,8,128,4,4,24,all,478038.2500
fake,8,128,4,4,12,early,38.2654
fake,8,128,4,4,12,mid,47.1691
fake,8,128,4,4,12,late,9052.2646
fake,8,128,4,4,12,all,612700.8125
fake,8,128,4,4,6,early,39.9002
fake,8,128,4,4,6,mid,48.1168
fake,8,128,4,4,6,late,7643.6489
fake,8,128,4,4,6,all,613310.5625
fake,4,64,16,16,48,early,25.1747
fake,4,64,16,16,48,mid,25.2658
fake,4,64,16,16,48,late,25.4081
fake,4,64,16,16,48,all,25.5755
fake,4,64,16,16,36,early,25.3440
fake,4,64,16,16,36,mid,25.7180
fake,4,64,16,16,36,late,102.8559
fake,4,64,16,16,36,all,94.9254
fake,4,64,16,16,24,early,25.7205
fake,4,64,16,16,24,mid,26.5168
fake,4,64,16,16,24,late,157.9990
fake,4,64,16,16,24,all,118.4359
fake,4,64,16,16,12,early,26.2957
fake,4,64,16,16,12,mid,28.0589
fake,4,64,16,16,12,late,228.4487
fake,4,64,16,16,12,all,143.9474
fake,4,64,16,16,6,early,27.0544
fake,4,64,16,16,6,mid,29.9018
fake,4,64,16,16,6,late,271.2267
fake,4,64,16,16,6,all,182.5464
fake,4,64,16,8,48,early,29.0275
fake,4,64,16,8,48,mid,32.2957
fake,4,64,16,8,48,late,43.7539
fake,4,64,16,8,48,all,199.9323
fake,4,64,16,8,36,early,29.6618
fake,4,64,16,8,36,mid,33.2663
fake,4,64,16,8,36,late,98.1851
fake,4,64,16,8,36,all,230.9437
fake,4,64,16,8,24,early,30.5638
fake,4,64,16,8,24,mid,34.5552
fake,4,64,16,8,24,late,142.9282
fake,4,64,16,8,24,all,281.6086
fake,4,64,16,8,12,early,31.7582
fake,4,64,16,8,12,mid,36.5612
fake,4,64,16,8,12,late,212.2747
fake,4,64,16,8,12,all,387.8061
fake,4,64,16,8,6,early,32.9638
fake,4,64,16,8,6,mid,37.8822
fake,4,64,16,8,6,late,244.4327
fake,4,64,16,8,6,all,488.6424
fake,4,64,16,4,48,early,32.0030
fake,4,64,16,4,48,mid,38.6852
fake,4,64,16,4,48,late,742.3277
fake,4,64,16,4,48,all,5794.9409
fake,4,64,16,4,36,early,32.8531
fake,4,64,16,4,36,mid,39.6275
fake,4,64,16,4,36,late,759.4482
fake,4,64,16,4,36,all,5165.1001
fake,4,64,16,4,24,early,33.9826
fake,4,64,16,4,24,mid,40.6938
fake,4,64,16,4,24,late,865.5856
fake,4,64,16,4,24,all,6670.0508
fake,4,64,16,4,12,early,35.3906
fake,4,64,16,4,12,mid,42.2972
fake,4,64,16,4,12,late,978.3655
fake,4,64,16,4,12,all,8293.1074
fake,4,64,16,4,6,early,36.8441
fake,4,64,16,4,6,mid,43.4409
fake,4,64,16,4,6,late,992.5558
fake,4,64,16,4,6,all,9351.6641
fake,4,64,8,16,48,early,25.9401
fake,4,64,8,16,48,mid,27.4404
fake,4,64,8,16,48,late,37.8147
fake,4,64,8,16,48,all,88.9846
fake,4,64,8,16,36,early,26.2461
fake,4,64,8,16,36,mid,28.2384
fake,4,64,8,16,36,late,107.1573
fake,4,64,8,16,36,all,136.6043
fake,4,64,8,16,24,early,26.7189
fake,4,64,8,16,24,mid,29.2423
fake,4,64,8,16,24,late,160.0746
fake,4,64,8,16,24,all,178.3306
fake,4,64,8,16,12,early,27.4988
fake,4,64,8,16,12,mid,30.9514
fake,4,64,8,16,12,late,233.7842
fake,4,64,8,16,12,all,255.9764
fake,4,64,8,16,6,early,28.3374
fake,4,64,8,16,6,mid,32.5520
fake,4,64,8,16,6,late,264.1593
fake,4,64,8,16,6,all,346.0213
fake,4,64,8,8,48,early,31.3454
fake,4,64,8,8,48,mid,34.8630
fake,4,64,8,8,48,late,169.0374
fake,4,64,8,8,48,all,13658.4912
fake,4,64,8,8,36,early,32.1556
fake,4,64,8,8,36,mid,35.8658
fake,4,64,8,8,36,late,227.0406
fake,4,64,8,8,36,all,12069.7266
fake,4,64,8,8,24,early,33.2724
fake,4,64,8,8,24,mid,37.0304
fake,4,64,8,8,24,late,311.4049
fake,4,64,8,8,24,all,14578.1260
fake,4,64,8,8,12,early,34.6464
fake,4,64,8,8,12,mid,38.8509
fake,4,64,8,8,12,late,423.1602
fake,4,64,8,8,12,all,19423.4082
fake,4,64,8,8,6,early,36.0409
fake,4,64,8,8,6,mid,40.0086
fake,4,64,8,8,6,late,479.1731
fake,4,64,8,8,6,all,26925.4863
fake,4,64,8,4,48,early,33.4227
fake,4,64,8,4,48,mid,40.6256
fake,4,64,8,4,48,late,3190.5708
fake,4,64,8,4,48,all,51901.4727
fake,4,64,8,4,36,early,34.3418
fake,4,64,8,4,36,mid,41.5464
fake,4,64,8,4,36,late,1822.3369
fake,4,64,8,4,36,all,38233.3008
fake,4,64,8,4,24,early,35.5501
fake,4,64,8,4,24,mid,42.6155
fake,4,64,8,4,24,late,2043.8539
fake,4,64,8,4,24,all,50983.1562
fake,4,64,8,4,12,early,37.0087
fake,4,64,8,4,12,mid,44.1228
fake,4,64,8,4,12,late,2193.6587
fake,4,64,8,4,12,all,67282.8125
fake,4,64,8,4,6,early,38.5076
fake,4,64,8,4,6,mid,45.2084
fake,4,64,8,4,6,late,2064.3718
fake,4,64,8,4,6,all,75066.9219
fake,4,64,4,16,48,early,26.5468
fake,4,64,4,16,48,mid,30.8373
fake,4,64,4,16,48,late,105.7242
fake,4,64,4,16,48,all,528.0035
fake,4,64,4,16,36,early,26.9130
fake,4,64,4,16,36,mid,31.6822
fake,4,64,4,16,36,late,167.7402
fake,4,64,4,16,36,all,580.1687
fake,4,64,4,16,24,early,27.4594
fake,4,64,4,16,24,mid,32.8229
fake,4,64,4,16,24,late,218.2770
fake,4,64,4,16,24,all,698.0353
fake,4,64,4,16,12,early,28.3324
fake,4,64,4,16,12,mid,34.4592
fake,4,64,4,16,12,late,277.0309
fake,4,64,4,16,12,all,882.9866
fake,4,64,4,16,6,early,29.2985
fake,4,64,4,16,6,mid,36.0871
fake,4,64,4,16,6,late,293.3268
fake,4,64,4,16,6,all,1020.8885
fake,4,64,4,8,48,early,32.7696
fake,4,64,4,8,48,mid,39.5371
fake,4,64,4,8,48,late,894.9409
fake,4,64,4,8,48,all,285877.6562
fake,4,64,4,8,36,early,33.6193
fake,4,64,4,8,36,mid,40.4501
fake,4,64,4,8,36,late,637.4088
fake,4,64,4,8,36,all,138878.8438
fake,4,64,4,8,24,early,34.8277
fake,4,64,4,8,24,mid,41.4153
fake,4,64,4,8,24,late,722.8281
fake,4,64,4,8,24,all,146353.5625
fake,4,64,4,8,12,early,36.2095
fake,4,64,4,8,12,mid,42.8227
fake,4,64,4,8,12,late,806.9745
fake,4,64,4,8,12,all,141215.1406
fake,4,64,4,8,6,early,37.6881
fake,4,64,4,8,6,mid,44.0223
fake,4,64,4,8,6,late,811.7640
fake,4,64,4,8,6,all,148832.6562
fake,4,64,4,4,48,early,34.5874
fake,4,64,4,4,48,mid,44.8110
fake,4,64,4,4,48,late,75242.0156
fake,4,64,4,4,48,all,1899312.7500
fake,4,64,4,4,36,early,35.5639
fake,4,64,4,4,36,mid,45.4013
fake,4,64,4,4,36,late,11092.2197
fake,4,64,4,4,36,all,562937.5000
fake,4,64,4,4,24,early,36.8657
fake,4,64,4,4,24,mid,46.1666
fake,4,64,4,4,24,late,10740.1973
