in_mode,out_mode,in_rank_x,out_rank,quant_type,quant_group,ppl,delta_ppl,svd_in_sec,svd_outW_sec,quant_in_sec,quant_outW_sec,eval_sec,tok_per_s,peak_vram_gb
early_mid,mid,1024,DENSE,int4,32,10.646319,1.651928,22.72,0.00,0.05,0.07,17.72,"11,211",8.62
early_mid,mid,1024,DENSE,int4,64,10.748632,1.754241,22.71,0.00,0.05,0.06,17.72,"11,208",8.62
early_mid,mid,1024,1792,none,0,10.748416,1.754025,0.00,0.00,0.00,0.00,17.87,"11,118",9.16
early_mid,mid,1024,1792,int8,32,10.751446,1.757055,0.00,0.00,0.02,0.04,17.87,"11,119",9.16
early_mid,mid,1024,1792,int8,64,10.752745,1.758354,0.00,0.00,0.02,0.04,17.87,"11,118",9.16
early_mid,mid,1024,1792,int4,32,11.228464,2.234073,0.00,0.00,0.02,0.04,17.86,"11,120",9.16
early_mid,mid,1024,1792,int4,64,11.345506,2.351115,0.00,0.00,0.02,0.04,17.86,"11,120",9.16
early_mid,mid,1024,1536,none,0,11.181311,2.186920,0.00,0.00,0.00,0.00,17.67,"11,245",9.08
early_mid,mid,1024,1536,int8,32,11.184013,2.189622,0.00,0.00,0.02,0.04,17.67,"11,245",9.08
early_mid,mid,1024,1536,int8,64,11.188518,2.194127,0.00,0.00,0.02,0.04,17.67,"11,245",9.08
early_mid,mid,1024,1536,int4,32,11.740113,2.745722,0.00,0.00,0.02,0.04,17.67,"11,245",9.08
early_mid,mid,1024,1536,int4,64,11.876828,2.882437,0.00,0.00,0.02,0.04,17.66,"11,247",9.08
